AppID,Name,Price,English,French,Italian,German,Spanish-Spain,Russian,Japanese,SimplifiedChinese,TraditionalChinese,Korean,Polish,Portuguese,Turkish,Czech,Portuguese-Brazil,Hungarian,Dutch,Ukrainian,Danish,Arabic,Spanish-LatinAmerica,Thai,Finnish,Norwegian,Romanian,Swedish,Greek,Vietnamese,Bulgarian,Slovakian,Portuguese-Portugal,Indonesian,Hindi,Catalan,None
963710,Lost in Vivo,11.99,11.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475460,3 Minute Heroes,9.99,9.99,9.99,,9.99,9.99,9.99,9.99,9.99,9.99,9.99,,,,,,,,,,,9.99,,,,,,,,,,,,,,
1035610,Hentai Mosaique Vip Room,0.99,0.99,0.99,,0.99,,0.99,0.99,0.99,,0.99,0.99,0.99,,,0.99,,0.99,,0.99,,,0.99,0.99,,,0.99,,,,,,,,,
1204270,New Year's Eve 2020,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,,0.99,,,,,0.99,,0.99,,,,0.99,,,0.99,,,,,,,,,
265770,Cannons Lasers Rockets,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491510,Recon Control,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,,9.99,9.99,9.99,9.99,9.99,9.99,,,,,,9.99,,,,,,,,,,,,,,
1591530,SAMURAI WARRIORS 5,59.99,59.99,59.99,,59.99,,,59.99,,59.99,,,,,,,,,,,,,,,,,,,,,,,,,,
304690,Star Sonata 2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466730,King's Guard TD,2.99,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885140,ä¸ƒäººæ€é˜µ - Seven Sacrifices,6.99,,,,,,,,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
594350,Attack Helicopter Dating Simulator,7.49,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694500,Army Men RTS,5.99,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839280,Cartonfall,7.99,7.99,,,7.99,7.99,7.99,7.99,7.99,,,7.99,,,,,,,,,,,,,,,,,,,,,,,,
608370,Drums Hero,19.99,19.99,,,,,,,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
530930,Soulblight,14.99,14.99,14.99,14.99,14.99,14.99,,,,,,14.99,,,,,14.99,,,,,,,,,,,,,,,,,,,
573770,RED,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1220370,Ever Forward,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,,,,,14.99,,,,,,,14.99,,,,,,,,,,,,,
1229490,ULTRAKILL,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035750,æ–‡å­—ç„,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
293840,Cult of the Wind,9.99,9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164050,When The Past Was Around,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,7.99,,7.99,7.99,7.99,7.99,,7.99,,,,,,7.99,,,,,,,7.99,,,,,,,
42910,Magicka,9.99,9.99,9.99,9.99,9.99,9.99,9.99,,,,,9.99,,,,,,,,,,,,,,,,,,,,,,,,
933110,Age of Empires III: Definitive Edition,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,19.99,,,19.99,,19.99,,,,,,,,,,,,,19.99,,,,,,,
1083210,ç¬¦æ–‡å¥³å­©/Rune Girl,0.99,0.99,,,,,,,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,
